itlbo,mode,moea_d,nsga_ii
91.66,121.9,118.74,112.14
141.68,67.43,73.95,102.87
107.22,120.22,76.98,86.91
91.26,130.2,63.17,91.73
130.66,139.64,94.73,121.57
104.18,112.72,75.36,88.8
95.56,99.12,96.91,107.5
79.55,125.43,77.83,121.33
95.17,115.91,67.33,101.48
63.67,102.39,86.04,87.79
88.38,126.22,90.0,116.18
112.59,120.68,94.61,88.24
108.7,124.07,76.28,106.05
89.22,93.42,100.55,121.52
110.36,135.14,107.02,88.28
92.88,109.06,124.35,116.92
142.62,111.59,127.72,135.08
91.08,115.49,63.68,88.6
114.08,114.31,114.31,111.03
100.99,92.99,92.99,118.41
87.08,102.98,61.8,91.66
103.01,98.42,105.86,104.01
93.31,111.3,154.73,120.72
106.3,116.8,128.48,114.83
