itlbo,mode,moea_d,nsga_ii
3.66,28.62,30.23,4.75
25.35,48.9,39.32,8.62
29.07,125.56,73.33,5.63
8.33,106.38,16.57,6.88
34.02,24.16,55.67,5.42
33.72,35.74,101.12,14.34
6.88,15.57,14.75,4.6
9.91,46.45,66.91,24.87
11.42,35.85,15.44,16.25
2.25,21.56,20.91,3.27
10.83,31.44,24.04,13.9
16.1,46.16,28.31,1.98
26.47,38.89,66.98,15.42
2.09,23.54,40.38,11.21
15.55,25.61,11.78,6.39
1.4,18.49,24.56,15.69
6.06,29.53,29.42,18.59
14.99,28.26,27.61,2.28
5.05,19.58,14.69,8.69
4.79,9.43,11.31,5.74
18.39,43.04,19.29,11.08
13.37,10.41,13.41,6.7
5.87,29.88,32.02,23.37
6.99,11.01,8.42,9.22
